O*NET-SOC Code,Title,Example
11-1011.00,Chief Executives,10-key calculators
11-1011.00,Chief Executives,Desktop computers
11-1011.00,Chief Executives,Laptop computers
11-1011.00,Chief Executives,Personal computers
11-1011.00,Chief Executives,Personal digital assistants PDA
11-1011.00,Chief Executives,Smartphones
11-1011.00,Chief Executives,Universal serial bus USB flash drives
11-1011.03,Chief Sustainability Officers,10-key calculators
11-1011.03,Chief Sustainability Officers,Computer data input scanners
11-1011.03,Chief Sustainability Officers,Desktop computers
11-1011.03,Chief Sustainability Officers,Handheld computers
11-1011.03,Chief Sustainability Officers,Laptop computers
11-1011.03,Chief Sustainability Officers,Multi-line telephone systems
11-1011.03,Chief Sustainability Officers,Personal computers
11-1011.03,Chief Sustainability Officers,Photocopying equipment
11-1011.03,Chief Sustainability Officers,Smartphones
11-1011.03,Chief Sustainability Officers,Video teleconferencing systems
11-1021.00,General and Operations Managers,10-key calculators
11-1021.00,General and Operations Managers,Cell phones
11-1021.00,General and Operations Managers,Computer scanners
11-1021.00,General and Operations Managers,Credit card processing machines
11-1021.00,General and Operations Managers,Desktop computers
11-1021.00,General and Operations Managers,Digital cameras
11-1021.00,General and Operations Managers,Handtrucks
11-1021.00,General and Operations Managers,Humidity test chambers
11-1021.00,General and Operations Managers,Laptop computers
11-1021.00,General and Operations Managers,Magnetic card readers
11-1021.00,General and Operations Managers,Personal computers
11-1021.00,General and Operations Managers,Personal digital assistants PDA
11-1021.00,General and Operations Managers,Photocopying equipment
11-1021.00,General and Operations Managers,Point of sale POS systems
11-1021.00,General and Operations Managers,Profilometers
11-1021.00,General and Operations Managers,Spectrometers
11-1021.00,General and Operations Managers,Surveillance cameras
11-1021.00,General and Operations Managers,Vacuum test chambers
11-1031.00,Legislators,Computer laser printers
11-1031.00,Legislators,Laptop computers
11-1031.00,Legislators,Tablet computers
11-1031.00,Legislators,Wireless desktop printers
11-2011.00,Advertising and Promotions Managers,Computer data input scanners
11-2011.00,Advertising and Promotions Managers,Desktop computers
11-2011.00,Advertising and Promotions Managers,Handheld computers
11-2011.00,Advertising and Promotions Managers,Laptop computers
11-2011.00,Advertising and Promotions Managers,Laser facsimile machines
11-2011.00,Advertising and Promotions Managers,Multi-line telephone systems
11-2011.00,Advertising and Promotions Managers,Notebook computers
11-2011.00,Advertising and Promotions Managers,Personal computers
11-2011.00,Advertising and Promotions Managers,Personal digital assistants PDA
11-2011.00,Advertising and Promotions Managers,Photocopying equipment
11-2011.00,Advertising and Promotions Managers,Scanners
11-2011.00,Advertising and Promotions Managers,Tablet computers
11-2021.00,Marketing Managers,Desktop computers
11-2021.00,Marketing Managers,Laser facsimile machines
11-2021.00,Marketing Managers,Notebook computers
11-2021.00,Marketing Managers,Personal computers
11-2021.00,Marketing Managers,Personal digital assistants PDA
11-2021.00,Marketing Managers,Photocopiers
11-2021.00,Marketing Managers,Scanners
11-2021.00,Marketing Managers,Tablet computers
11-2022.00,Sales Managers,Desktop computers
11-2022.00,Sales Managers,Notebook computers
11-2022.00,Sales Managers,Personal computers
11-2022.00,Sales Managers,Scanners
11-2022.00,Sales Managers,Tablet computers
11-2032.00,Public Relations Managers,Computer scanners
11-2032.00,Public Relations Managers,Desktop computers
11-2032.00,Public Relations Managers,Laptop computers
11-2032.00,Public Relations Managers,Multi-line telephone systems
11-2032.00,Public Relations Managers,Personal computers
11-2032.00,Public Relations Managers,Photocopying equipment
11-2033.00,Fundraising Managers,Computer scanners
11-2033.00,Fundraising Managers,Desktop computers
11-2033.00,Fundraising Managers,Laptop computers
11-2033.00,Fundraising Managers,Multi-line telephone systems
11-2033.00,Fundraising Managers,Personal computers
11-2033.00,Fundraising Managers,Photocopying equipment
11-3012.00,Administrative Services Managers,10-key calculators
11-3012.00,Administrative Services Managers,Desktop computers
11-3012.00,Administrative Services Managers,Laptop computers
11-3012.00,Administrative Services Managers,Laser facsimile machines
11-3012.00,Administrative Services Managers,Mobile phones
11-3012.00,Administrative Services Managers,Multi-line telephone systems
11-3012.00,Administrative Services Managers,Notebook computers
11-3012.00,Administrative Services Managers,Personal computers
11-3012.00,Administrative Services Managers,Personal digital assistants PDA
11-3012.00,Administrative Services Managers,Photocopying equipment
11-3012.00,Administrative Services Managers,Scanners
11-3012.00,Administrative Services Managers,Tablet computers
11-3013.00,Facilities Managers,10-key calculators
11-3013.00,Facilities Managers,Desktop computers
11-3013.00,Facilities Managers,Laptop computers
11-3013.00,Facilities Managers,Laser facsimile machines
11-3013.00,Facilities Managers,Mobile phones
11-3013.00,Facilities Managers,Multi-line telephone systems
11-3013.00,Facilities Managers,Notebook computers
11-3013.00,Facilities Managers,Personal computers
11-3013.00,Facilities Managers,Photocopying equipment
11-3013.00,Facilities Managers,Scanners
11-3013.00,Facilities Managers,Tablet computers
11-3013.01,Security Managers,Approach detection systems
11-3013.01,Security Managers,Computer laser printers
11-3013.01,Security Managers,Explosives detectors
11-3013.01,Security Managers,Fire alarm systems
11-3013.01,Security Managers,Keyless entry systems
11-3013.01,Security Managers,Laptop computers
11-3013.01,Security Managers,Multiline telephone systems
11-3013.01,Security Managers,Personal computers
11-3013.01,Security Managers,Physical access control systems
11-3013.01,Security Managers,Security alarm systems
11-3013.01,Security Managers,Teleconferencing equipment
11-3013.01,Security Managers,Video surveillance systems
11-3013.01,Security Managers,Videoconferencing equipment
11-3021.00,Computer and Information Systems Managers,Access servers
11-3021.00,Computer and Information Systems Managers,Computer servers
11-3021.00,Computer and Information Systems Managers,Computer tool kits
11-3021.00,Computer and Information Systems Managers,File servers
11-3021.00,Computer and Information Systems Managers,Industry standard architecture/peripheral component interconnect ISA/PCI cards
11-3021.00,Computer and Information Systems Managers,Inkjet printers
11-3021.00,Computer and Information Systems Managers,Internet Information Services IIS Servers
11-3021.00,Computer and Information Systems Managers,Laser facsimile machines
11-3021.00,Computer and Information Systems Managers,Laser printers
11-3021.00,Computer and Information Systems Managers,Mainframe computers
11-3021.00,Computer and Information Systems Managers,Mid-range computers
11-3021.00,Computer and Information Systems Managers,Minicomputers
11-3021.00,Computer and Information Systems Managers,Netware servers
11-3021.00,Computer and Information Systems Managers,Network analyzers
11-3021.00,Computer and Information Systems Managers,Network interface cards NIC
11-3021.00,Computer and Information Systems Managers,Network routers
11-3021.00,Computer and Information Systems Managers,Network switches
11-3021.00,Computer and Information Systems Managers,Personal computers
11-3021.00,Computer and Information Systems Managers,Photocopiers
11-3021.00,Computer and Information Systems Managers,Print servers
11-3021.00,Computer and Information Systems Managers,Punchdown tools
11-3021.00,Computer and Information Systems Managers,Robot automation tool
11-3021.00,Computer and Information Systems Managers,Screwdrivers
11-3021.00,Computer and Information Systems Managers,Storage servers
11-3021.00,Computer and Information Systems Managers,Teleconferencing equipment
11-3021.00,Computer and Information Systems Managers,Web servers
11-3021.00,Computer and Information Systems Managers,Workstations
11-3031.00,Financial Managers,10-key calculators
11-3031.00,Financial Managers,Desktop computers
11-3031.00,Financial Managers,Notebook computers
11-3031.00,Financial Managers,Personal computers
11-3031.00,Financial Managers,Personal digital assistants PDA
11-3031.00,Financial Managers,Scanners
11-3031.00,Financial Managers,Tablet computers
11-3031.01,Treasurers and Controllers,10-key calculators
11-3031.01,Treasurers and Controllers,Desktop computers
11-3031.01,Treasurers and Controllers,Notebook computers
11-3031.01,Treasurers and Controllers,Personal computers
11-3031.01,Treasurers and Controllers,Personal digital assistants PDA
11-3031.01,Treasurers and Controllers,Tablet computers
11-3031.03,Investment Fund Managers,Desktop computers
11-3031.03,Investment Fund Managers,Laptop computers
11-3031.03,Investment Fund Managers,Multiline telephone systems
11-3031.03,Investment Fund Managers,Personal computers
11-3031.03,Investment Fund Managers,Teleconferencing equipment
11-3031.03,Investment Fund Managers,Videoconferencing equipment
11-3051.00,Industrial Production Managers,Air samplers
11-3051.00,Industrial Production Managers,All terrain vehicles ATV
11-3051.00,Industrial Production Managers,Combustible gas monitors
11-3051.00,Industrial Production Managers,Desktop computers
11-3051.00,Industrial Production Managers,Diesel reciprocating engine generator sets
11-3051.00,Industrial Production Managers,Enclosed flares
11-3051.00,Industrial Production Managers,Forklifts
11-3051.00,Industrial Production Managers,Gas leak detectors
11-3051.00,Industrial Production Managers,Gas reciprocating engine generator sets
11-3051.00,Industrial Production Managers,Micro anemometers
11-3051.00,Industrial Production Managers,Multiple gas monitors
11-3051.00,Industrial Production Managers,Notebook computers
11-3051.00,Industrial Production Managers,Open flares
11-3051.00,Industrial Production Managers,Oxygen analyzers
11-3051.00,Industrial Production Managers,Personal computers
11-3051.00,Industrial Production Managers,Personal digital assistants PDA
11-3051.00,Industrial Production Managers,Pressure gauges
11-3051.00,Industrial Production Managers,Pressure valves
11-3051.00,Industrial Production Managers,Scanners
11-3051.00,Industrial Production Managers,Squares
11-3051.00,Industrial Production Managers,Tablet computers
11-3051.00,Industrial Production Managers,Tape measures
11-3051.00,Industrial Production Managers,Taper gauges
11-3051.00,Industrial Production Managers,Utility trucks
11-3051.00,Industrial Production Managers,Vernier calipers
11-3051.01,Quality Control Systems Managers,Automated diluters
11-3051.01,Quality Control Systems Managers,Automated microplate ELISA readers
11-3051.01,Quality Control Systems Managers,Cellular assay equipment
11-3051.01,Quality Control Systems Managers,Computer inkjet printers
11-3051.01,Quality Control Systems Managers,Electrophoresis equipment
11-3051.01,Quality Control Systems Managers,Fourier transfer infrared FTIR spectrometers
11-3051.01,Quality Control Systems Managers,Gas chromatography equipment
11-3051.01,Quality Control Systems Managers,Handheld data collectors
11-3051.01,Quality Control Systems Managers,Infrared spectroscopic equipment
11-3051.01,Quality Control Systems Managers,Laboratory analytical balances
11-3051.01,Quality Control Systems Managers,Laboratory benchtop centrifuges
11-3051.01,Quality Control Systems Managers,Laboratory extraction equipment
11-3051.01,Quality Control Systems Managers,Laboratory moisture balances
11-3051.01,Quality Control Systems Managers,Laptop computers
11-3051.01,Quality Control Systems Managers,Liquid chromatography equipment
11-3051.01,Quality Control Systems Managers,Personal computers
11-3051.01,Quality Control Systems Managers,pH analyzers
11-3051.01,Quality Control Systems Managers,Titrators
11-3051.02,Geothermal Production Managers,Dataloggers
11-3051.02,Geothermal Production Managers,Desktop computers
11-3051.02,Geothermal Production Managers,Diesel-powered generators
11-3051.02,Geothermal Production Managers,Forklifts
11-3051.02,Geothermal Production Managers,Laptop computers
11-3051.02,Geothermal Production Managers,Large volume water pumps
11-3051.02,Geothermal Production Managers,Material moving cranes
11-3051.02,Geothermal Production Managers,Mobile radios
11-3051.02,Geothermal Production Managers,Multi-line telephone systems
11-3051.02,Geothermal Production Managers,Personal computers
11-3051.02,Geothermal Production Managers,Programmable logic controllers PLC
11-3051.03,Biofuels Production Managers,Air monitoring equipment
11-3051.03,Biofuels Production Managers,Ball valves
11-3051.03,Biofuels Production Managers,Belt conveyor systems
11-3051.03,Biofuels Production Managers,Desktop computers
11-3051.03,Biofuels Production Managers,Dust and particulate respirators
11-3051.03,Biofuels Production Managers,Electric timing devices
11-3051.03,Biofuels Production Managers,Emergency alarm systems
11-3051.03,Biofuels Production Managers,Fermentation processing vessels
11-3051.03,Biofuels Production Managers,Flow control valves FCV
11-3051.03,Biofuels Production Managers,Forklifts
11-3051.03,Biofuels Production Managers,Gate butterfly valves
11-3051.03,Biofuels Production Managers,Glass graduated cylinders
11-3051.03,Biofuels Production Managers,Gravity convection ovens
11-3051.03,Biofuels Production Managers,Hand sampling pumps
11-3051.03,Biofuels Production Managers,Hazardous material spill kits
11-3051.03,Biofuels Production Managers,Mobile radios
11-3051.03,Biofuels Production Managers,Moisture analyzers
11-3051.03,Biofuels Production Managers,Mole sieves
11-3051.03,Biofuels Production Managers,Personal computers
11-3051.03,Biofuels Production Managers,pH probes
11-3051.03,Biofuels Production Managers,Reaction flasks
11-3051.03,Biofuels Production Managers,Sample ports
11-3051.03,Biofuels Production Managers,Self-contained breathing apparatus
11-3051.03,Biofuels Production Managers,Stop valves
11-3051.03,Biofuels Production Managers,Throttle control valves TCV
11-3051.04,Biomass Power Plant Managers,Biomass boilers
11-3051.04,Biomass Power Plant Managers,Bubbling fluidized bed boilers
11-3051.04,Biomass Power Plant Managers,Circulating fluidized bed boilers
11-3051.04,Biomass Power Plant Managers,Cooling towers
11-3051.04,Biomass Power Plant Managers,Desktop computers
11-3051.04,Biomass Power Plant Managers,Heat recovery steam generators
11-3051.04,Biomass Power Plant Managers,Laptop computers
11-3051.04,Biomass Power Plant Managers,Personal computers
11-3051.04,Biomass Power Plant Managers,Radial stackers
11-3051.04,Biomass Power Plant Managers,Steam boilers
11-3051.04,Biomass Power Plant Managers,Steam turbines
11-3051.04,Biomass Power Plant Managers,Water samplers
11-3051.04,Biomass Power Plant Managers,Wood feed systems
11-3051.06,Hydroelectric Production Managers,Dam water flow controls
11-3051.06,Hydroelectric Production Managers,Desktop computers
11-3051.06,Hydroelectric Production Managers,Electrical circuit breakers
11-3051.06,Hydroelectric Production Managers,Electrical switch gear
11-3051.06,Hydroelectric Production Managers,Hydraulic power generation equipment
11-3051.06,Hydroelectric Production Managers,Hydroelectric power generator controls
11-3051.06,Hydroelectric Production Managers,Impulse turbines
11-3051.06,Hydroelectric Production Managers,Laptop computers
11-3051.06,Hydroelectric Production Managers,Mobile radios
11-3051.06,Hydroelectric Production Managers,Personal computers
11-3051.06,Hydroelectric Production Managers,Power transformers
11-3051.06,Hydroelectric Production Managers,Protective ear muffs
11-3051.06,Hydroelectric Production Managers,Protective respirators
11-3051.06,Hydroelectric Production Managers,Reaction turbines
11-3051.06,Hydroelectric Production Managers,Safety glasses
11-3051.06,Hydroelectric Production Managers,Turbine generators
11-3061.00,Purchasing Managers,10-key calculators
11-3061.00,Purchasing Managers,Desktop computers
11-3061.00,Purchasing Managers,Personal computers
11-3071.00,"Transportation, Storage, and Distribution Managers",Barcode scanners
11-3071.00,"Transportation, Storage, and Distribution Managers",Barcoding labels
11-3071.00,"Transportation, Storage, and Distribution Managers",Cell phones
11-3071.00,"Transportation, Storage, and Distribution Managers",Desktop computers
11-3071.00,"Transportation, Storage, and Distribution Managers",Digital cameras
11-3071.00,"Transportation, Storage, and Distribution Managers",Forklifts
11-3071.00,"Transportation, Storage, and Distribution Managers",Global positioning systems GPS
11-3071.00,"Transportation, Storage, and Distribution Managers",Laptop computers
11-3071.00,"Transportation, Storage, and Distribution Managers",Laser facsimile machines
11-3071.00,"Transportation, Storage, and Distribution Managers",Multi-line telephone systems
11-3071.00,"Transportation, Storage, and Distribution Managers",Pallet jacks
11-3071.00,"Transportation, Storage, and Distribution Managers",Personal computers
11-3071.00,"Transportation, Storage, and Distribution Managers",Personal digital assistants PDA
11-3071.00,"Transportation, Storage, and Distribution Managers",Personal protective equipment
11-3071.00,"Transportation, Storage, and Distribution Managers",Photocopiers
11-3071.00,"Transportation, Storage, and Distribution Managers",Radio frequency handheld terminals
11-3071.00,"Transportation, Storage, and Distribution Managers",Radio frequency identification RFID devices
11-3071.00,"Transportation, Storage, and Distribution Managers",Radio frequency truck-mounted terminals
11-3071.00,"Transportation, Storage, and Distribution Managers",Wireless communication and satellite positioning tools
11-3071.04,Supply Chain Managers,Laptop computers
11-3071.04,Supply Chain Managers,Laser facsimile machines
11-3071.04,Supply Chain Managers,Personal computers
11-3071.04,Supply Chain Managers,Radio frequency identification RFID scanners
11-3111.00,Compensation and Benefits Managers,10-key calculators
11-3111.00,Compensation and Benefits Managers,Desktop computers
11-3111.00,Compensation and Benefits Managers,Laptop computers
11-3111.00,Compensation and Benefits Managers,Liquid crystal display LCD video projectors
11-3111.00,Compensation and Benefits Managers,Notebook computers
11-3111.00,Compensation and Benefits Managers,Optical disk drives
11-3111.00,Compensation and Benefits Managers,Personal computers
11-3111.00,Compensation and Benefits Managers,Personal digital assistants PDA
11-3111.00,Compensation and Benefits Managers,Photocopying equipment
11-3111.00,Compensation and Benefits Managers,Scanners
11-3111.00,Compensation and Benefits Managers,Tablet computers
11-3111.00,Compensation and Benefits Managers,Universal serial bus USB flash drives
11-3121.00,Human Resources Managers,Audio recording equipment
11-3121.00,Human Resources Managers,Desktop computers
11-3121.00,Human Resources Managers,Notebook computers
11-3121.00,Human Resources Managers,Personal computers
11-3121.00,Human Resources Managers,Scanners
11-3131.00,Training and Development Managers,Desktop computers
11-3131.00,Training and Development Managers,Laptop computers
11-3131.00,Training and Development Managers,Liquid crystal display LCD video projectors
11-3131.00,Training and Development Managers,MP3 players
11-3131.00,Training and Development Managers,Personal computers
11-3131.00,Training and Development Managers,Universal serial bus USB flash drives
11-3131.00,Training and Development Managers,Videoconferencing equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Adjustable hand wrenches
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Adjustable widemouth pliers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Aeration pumps
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Aerosol foggers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Air compression equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Animal blood collection syringes
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Animal feeders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Animal transportation trailers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Animal vaccination syringes
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Aquaculture tanks
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Artificial insemination kits
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Backhoe attachments
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Backhoes
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Bar code readers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Belt conveyor systems
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Bench scales
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Biological filters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Branding equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Brush mowers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Cage nets
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Carbon dioxide systems
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Centrifugal water pumps
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Chain saws
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Chemical sprayers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Chipping equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Circular saws
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Claw hammers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Clockwork belt feeders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Composting equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Cordless power drills
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Corn pickers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Desktop computers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Dew point meters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Digital flowmeters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Dip nets
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Drainage pumps
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Drip emitters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Dump trucks
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Egg gathering equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Electric timing devices
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Extended pole pruners
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Extension ladders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Farm tractors
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Farm trucks
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fertigation equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fertilizer injectors
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Field cultivators
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Field watering systems
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish collection nets
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish counters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish crowders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish egg counters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish egg sorters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish feeders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish graders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish holding pens
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish incubators
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish transfer pumps
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fish traps
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Forklifts
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Four wheel drive 4WD trucks
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fry nets
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Fumigation equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Garden hoes
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Gardening shovels
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Gas-powered generators
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Global positioning system GPS receivers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Grain combines
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Grain drills
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Grain dryers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Grain scales
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Grease guns
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Hacksaws
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Handheld computers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Handheld dissolved oxygen meters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Handsaws
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Hay balers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Hay mowing machines
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Hay trucks
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Humidifiers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Humidity meters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Hydroponic equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Impact sprinklers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Laptop computers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Lawn edgers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Lawn mowers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Layout squares
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Light evaluation meters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Line cutters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Livestock castration equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Manure spreaders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Materials conveyors
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mechanized tilling equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Microsprinklers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Milking equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mist control systems
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mowing equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mulch spreaders
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Multipurpose pliers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Multipurpose tractors
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Oil dispensing cans
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Overhead sprinklers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Ozone generators
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Personal computers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",pH indicators
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",pH probes
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Phillips screwdrivers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Pipe wrenches
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Pneumatic cutters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Pneumatic pruners
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Pop-up sprinklers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Portable air compressors
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Portable dataloggers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Portable power saws
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Portable welding equipment
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Poultry incubators
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Power augers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Power monitors
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Power mowers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Power nail guns
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Power nail pullers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Powered trailers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Propane torches
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Pruning tools
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Radiant heaters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Round metal files
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Safety gloves
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Screen filters
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Security alarm systems
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Seine reels
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Skid steer machines
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Snow blowers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Snowplow attachments
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Soil electrical conductivity measurement devices
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Soil mixers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Soil pasteurizers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Soil thermometers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Sport utility vehicles SUVs
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Spray attachments
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Steam sterilizers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Stereo light microscopes
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Straight screwdrivers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Tablet computers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Tanker trucks
